Παλαιά Ονομασία,Παραλλαγή Παλαιάς Ονομασίας,Νέα Ονομασία,Παραλλαγή Νέας Ονομασίας,Γεωγραφικό Διαμέρισμα,Νομός,Επαρχία,Φ.Ε.Κ.,Σχόλια,Latitude,Longitude
Μακρυπλαγιά,,Δάφνη,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,251/1930,← Δράμιστα,40.2850425,21.1487043
Αβώρανη,,Λιβαδάκι,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,51/1930,,38.7236693,21.9157072
Μεγάλη Λομποτινά,,Άνω Χώρα,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,51/1930,,38.5921998,21.9246214
Δραγάμεστον,,Καραϊσκάκης,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΒΟΝΙΤΣΗΣ-ΞΗΡΟΜΕΡΟΥ,251/1930,,38.5816464,21.0897969
Αράχωβα,,Πεντάκορφον,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΤΡΙΧΩΝΙΔΟΣ,251/1930,,38.687409,21.8657742
Δουραλί,,Έλος,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΕΠΙΔΑΥΡΟΥ ΛΙΜΗΡΑΣ,251/1930,,36.8328126,22.697621
Μπεσχένι,,Παρώριον,Παρόριον,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΙΑΣ,251/1930,,38.5623096,22.7555846
Κεραμίδι,,Νέα Σκιώνη,,ΜΑΚΕΔΟΝΙΑ,ΧΑΛΚΙΔΙΚΗΣ,ΧΑΛΚΙΔΙΚΗΣ,251/1930,← Τσαπράνι,39.9465998,23.5312389
Τριλάγκαδο,,Παληοκαρυά,Παλαιοκαρυά,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΤΡΙΧΩΝΙΔΟΣ,251/1930,← Ζακώνια,39.0,22.0
Αράχωβα,,Καρυαί,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΛΑΚΩΝΙΑΣ,ΛΑΚΕΔΑΙΜΟΝΟΣ,251/1930,,39.0,22.0
Σαρτζαλή,Σαρίτζαλη,Χρυσόπετρα,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,251/1930,,40.8989429,22.9824239
Στρογγυλόν,,Χρυσαυγή,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΒΟΪΟΥ,251/1930,→ Μοιραλή,40.1686945,21.2211886
Λαλικώστα,,Φαρραί,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΑΧΑΪΑΣ,ΠΑΤΡΩΝ,51/1930,,39.0,22.0
Δραμίζι,,Κοτρώνι,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΤΡΙΚΑΛΩΝ,251/1930,,39.4633577,21.5615025
Κάτω Αγόριανη,,Έκκαρα,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΘΙΩΤΙΔΟΣ,ΔΟΜΟΚΟΥ,251/1930,,39.1550648,22.1969328
Ραψίστα,,Γόμφοι,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΤΡΙΚΑΛΩΝ,251/1930,,39.4642493,21.6931228
Μόνοικον,,Άγιον Πνεύμα,,ΜΑΚΕΔΟΝΙΑ,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,51/1930,,41.13093,23.54439
Σιάμον,,Οξυά,,ΘΕΣΣΑΛΙΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΔΙΤΣΗΣ,251/1930,,39.3570141,21.5960768
Πάνιτσα,,Διάσελον,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΤΡΙΚΑΛΩΝ,251/1930,,39.0,22.0
Εκήμ Βελέσι,,Πεδιανόν,Πεδινόν,ΘΕΣΣΑΛΙΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΔΙΤΣΗΣ,251/1930,,39.27159,21.88641
Δερβέσιανη,,Οινούσα,Οινούσσα,ΜΑΚΕΔΟΝΙΑ,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,51/1930,,41.13093,23.54439
Σαρμουσακλή,Σαρμουσακλί,Ροδίστα,Ροδίτσα,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΘΙΩΤΙΔΟΣ,ΦΘΙΩΤΙΔΟΣ,251/1930,,39.0,22.0
Μολεντζικόν,,Καλή Κώμη,,ΘΕΣΣΑΛΙΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΔΙΤΣΗΣ,251/1930,,39.3608465,21.4068301
Τσατμάς,,Πετρωτόν,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΘΙΩΤΙΔΟΣ,ΔΟΜΟΚΟΥ,251/1930,,39.0,22.0
Κουμπλέσι,,Φουντωτόν,,ΘΕΣΣΑΛΙΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΔΙΤΣΗΣ,251/1930,,39.27159,21.88641
Κροκιδάς,,Ασωπία,Ασωπεία,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΚΟΡΙΝΘΙΑΣ,ΚΟΡΙΝΘΙΑΣ,251/1930,"← Χασάναγα, → Κροκιδάς, → Βοχαϊκόν",37.9388123,22.8339826
Κούρσοβον,,Ελληνόκαστρον,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΤΡΙΚΑΛΩΝ,251/1930,,39.0,22.0
Σαμπαλή,,Φύλλος,,ΘΕΣΣΑΛΙΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΔΙΤΣΗΣ,251/1930,,39.27159,21.88641
Βετερνίκον,,Νεραϊδοχώρι,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΤΡΙΚΑΛΩΝ,251/1930,"→ Χατζηπέτριον, → Νεραϊδοχώριον",39.5294323,21.4366244
Λούζι,,Ελληνικόν,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΚΟΡΙΝΘΙΑΣ,ΚΟΡΙΝΘΙΑΣ,386/1930,,37.884256,22.27421
Βαρμπόπη,,Φύκη,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΤΡΙΚΑΛΩΝ,251/1930,,39.0,22.0
Δερβέν Φούρκα,,Καλαμάκι,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΘΙΩΤΙΔΟΣ,ΦΘΙΩΤΙΔΟΣ,251/1930,,38.9999772,22.3516138
Μουζούστα,,Λεύκη,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΜΕΣΣΗΝΙΑΣ,ΤΡΙΦΥΛΙΑΣ,251/1930,,37.0442662,21.6650951
Κεμερλέρ,,Καπαδοκικόν,,ΘΕΣΣΑΛΙΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΔΙΤΣΗΣ,251/1930,,39.27159,21.88641
Σελιπιανά,,Καταφύλι,Καταφύλλι,ΘΕΣΣΑΛΙΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΔΙΤΣΗΣ,251/1930,,39.27159,21.88641
Ράκοβα,,Ψαθοχώρι,,ΘΕΣΣΑΛΙΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΔΙΤΣΗΣ,251/1930,,39.4748671,21.9913371
Νίκοβα,,Άνυδρον,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΘΙΩΤΙΔΟΣ,ΦΘΙΩΤΙΔΟΣ,251/1930,,39.0,22.0
Σκληνιάσα,,Στεφάνι,,ΘΕΣΣΑΛΙΑ,ΤΡΙΚΑΛΩΝ,ΚΑΛΑΜΠΑΚΑΣ,251/1930,,39.678297,21.300067
Μπαλταλάρ,,Κυψέλη,,ΘΕΣΣΑΛΙΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΔΙΤΣΗΣ,251/1930,,39.3749801,22.1416559
Ουζούν Καραλάρ,,Γραμματικόν,,ΘΕΣΣΑΛΙΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΔΙΤΣΗΣ,251/1930,,39.27159,21.88641
Τεκελή,,Μικρόν Βουνόν,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΛΑΡΙΣΗΣ,251/1930,,39.0,22.0
Κολοπετινίτσα,,Μονοδένδρι,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΠΑΡΝΑΣΣΙΔΟΣ,206/1927,→ Τριταία,39.0,22.0
Γαϊδούρο,,Άνω Αμυγδάλοι,,ΚΡΗΤΗ,ΛΑΣΙΘΙΟΥ,ΜΙΡΑΜΠΕΛΛΟΥ,179/1927,,35.2103165,25.5945277
Βόθροι,,Κόρωνος,,ΝΗΣΟΙ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΝΑΞΟΥ,179/1927,,37.1170394,25.5358931
Βετολίστα,,Ρωμηά,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,206/1927,→ Τερψιθέα,39.0,22.0
Γενή Μαχαλέ,,Λειψύδριον,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,40.92116,22.95207
Ακτσέ Κλισέ,Ακτσέ Κλισσέ,Κολχίς,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.94171,22.89413
Άρμπουρ,,Κορωνούδα,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,40.9887942,22.9997897
Κούσοβον,,Κοκκινιά,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,206/1927,,41.0733784,23.0082614
Μουζδερέκ,,Μελισσουργειό,Μελισσουργείο,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,41.0888787,23.0389534
Κασιμλή,,Χειμαδιόν,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,41.08937,22.89605
Παζαρλή,,Μελάνθιον,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.9544,23.0563
Γουρίτσα,,Πυρά,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΦΩΚΙΔΟΣ,ΠΑΡΝΑΣΣΙΔΟΣ,206/1927,,38.7426146,22.2713729
Χανούμ Μαχαλέ,,Κυράδες,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.99302,22.87433
Κιτίκι,,Φυλακή,Φυλάκη,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΑΛΜΥΡΟΥ,306/1927,,39.2503222,22.5806478
Δερβενοσάλεσι,,Πύλη,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΘΗΒΩΝ,179/1927,,38.2143188,23.4954335
Μπεστίνικα,Μποστίνικα,Ξυνόβρυση,Ξινόβρυση,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,306/1927,,39.0,22.0
Κρώρα,,Στεφάνη,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΘΗΒΩΝ,179/1927,,38.176382,23.5463846
Τζουμά Μαχαλέ,,Κατάπετρα,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,40.99302,22.87433
Τσεβαλή,Τσεβαπλή,Λαοδικηνόν,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.99302,22.87433
Λυκούρεσι,,Λυκώρεια,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΙΑΣ,179/1927,,39.0,22.0
Δράμεσι,,Παραλία,Παραλία Αυλίδας,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΕΥΒΟΙΑΣ,ΧΑΛΚΙΔΟΣ,179/1927,,38.5825401,24.1335616
Ινανλή,,Ακροποταμιά,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.9309324,22.9740812
Άνω Γιαντζελί,,Άγιος Σπυρίδων,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΑΛΜΥΡΟΥ,306/1927,,39.1642159,22.6535748
Κιουλελή,,Πυργωτόν,Πυργωτός,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.99302,22.87433
Δεγλέ,Δεγλές,Μαυρόγεια,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΙΑΣ,179/1927,,38.4333887,22.9891844
Μάζι,,Τριποδίσκος,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΤΤΙΚΗΣ,ΜΕΓΑΡΙΔΟΣ,179/1927,→ Σπάρτα,38.1667829,23.4174609
Κριεκούκι,,Ερυθραί,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΤΤΙΚΗΣ,ΜΕΓΑΡΙΔΟΣ,179/1927,,38.2165099,23.3219271
Βρανέζι,,Άγιος Σπυρίδων,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΙΑΣ,179/1927,,38.3109153,23.6379354
Πιτσιάνικα,,Μυρτίδια,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΤΤΙΚΗΣ,ΚΥΘΗΡΩΝ,Β16/1927,,36.202357205700885,22.969386006658965
Βισβάρδιον,,Ακόντιον,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΙΑΣ,179/1927,,39.0,22.0
Μπαϊράμ Δερέ Μαχαλάδες,,Περιστέρι,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.8685077,22.9580834
Γενή Κιόι,,Ελευθεροχώρι,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,206/1927,,41.073317,22.7611104
Σαχινλή,,Χελιδονιά,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.99302,22.87433
Κλειδέτι,,Κλειδί,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΘΗΒΩΝ,179/1927,,38.2729118,23.5740311
Περσεφλή,,Αερεινόν,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,306/1927,,39.0,22.0
Κόνιαρη,Κουγιούγγερη,Χλόη,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,306/1927,,39.4020409,22.7309552
Γερμί,,Ξερολίθι,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,306/1927,,39.0,22.0
Νταρμπεγλί,,Άγιος Γεδεών,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,306/1927,,39.0,22.0
Αμπελοσάλεσι,,Αμπελοχώριον,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΘΗΒΩΝ,179/1927,,38.3012244,23.2656958
Τσιφλίκια,,Βροχιά,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,306/1927,,39.3369529,23.0363988
Ντουμουζλάρ,,Παλαιόν,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,306/1927,,39.36231665,22.93644613958978
Καραμπάσι,,Άγιος Βλάσιος,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,306/1927,,39.3415737,23.0671086
Κιλελέρ,Κιουλέλερ,Ανθότοπος,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΑΛΜΥΡΟΥ,306/1927,,39.1837776,22.6014501
Δοβροβίστα,,Σκαφιδιά,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,40.99302,22.87433
Δάρα,,Τακτικούπολις,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΤΤΙΚΗΣ,ΤΡΟΙΖΗΝΙΑΣ,206/1927,,39.0,22.0
Κάτω Γιαντζελί,,Δούκα,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΑΛΜΥΡΟΥ,306/1927,,39.17805445,22.687970842180434
Τουρκομουσλί,,Αργιλλοχώρι,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΑΛΜΥΡΟΥ,306/1927,,39.0,22.0
Χασουμελί,,Ζαρκαδοχώρι,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΑΛΜΥΡΟΥ,306/1927,,39.1973973,22.574947
Ιντζέκ,,Νεοχωράκι,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΑΛΜΥΡΟΥ,306/1927,,39.16818,22.6195474
Στανιάταις,Στανιάτες,Οινόφυτα,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΘΗΒΩΝ,179/1927,,38.3074629,23.6382036
Κάπουρνα,,Γλαφυραί,Γλαφυρά,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,306/1927,,39.0,22.0
Μπούφα,,Κορώπη,Κορόπη,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,306/1927,,39.2932397,23.1428984
Άνω Καραδαναλί,,Άνω Μαυρόλοφος,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΑΛΜΥΡΟΥ,306/1927,,39.2244724,22.6604829
Κριμπάτσι,,Καλό Χωριό,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΕΥΒΟΙΑΣ,ΧΑΛΚΙΔΟΣ,179/1927,,38.3914082,23.5948435
Σπάντσοβο,,Λατόμι,Λατομείον,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,41.03047,22.60161
Χότζα Μαχαλέ,,Παρόχθιον,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,41.0717,23.06815
Κουζ Μαχαλέ,,Ριζοβούνι,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.99302,22.87433
Παπράτ,,Ποντοκερασιά,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,41.0891053,23.129758
Ξυλοκέριζα,,Ξυλοκερατιά,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,179/1927,,38.0454458,23.9702732
Σπατατζίκι,,Πευκόφυτον,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,179/1927,,38.1543103,23.8676625
Μάζι,,Πολυδένδρι,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,179/1927,,38.2163741,23.8678642
Βιλλαντζίκ,Βελλιατζίκι,Μικροχώρι,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,179/1927,,38.2336852,23.8936709
Αρμένσκον,,Άλωνας,Άλωνα,ΜΑΚΕΔΟΝΙΑ,ΦΛΩΡΙΝΗΣ,ΦΛΩΡΙΝΗΣ,179/1927,,40.8014,21.48495
Δάγλα,,Λιάδα,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,179/1927,,37.8685982,23.9371955
Βάρδενο,,Λιμνότοπος,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,40.9560124,22.6285837
Τζαμί Μαχαλέ,,Τετράσπιτον,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,40.99302,22.87433
Ορέβιστα,,Πευκόδασος,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,41.0398741,22.577127
Ερεκλή,,Κορομηλιές,Κορομηλέα,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,40.99302,22.87433
Δοκουσλή,,Αγία Κυριακή,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,41.1202525,22.8315735
Λιοσάτι,,Κοκκινόβραχος,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,179/1927,,37.97649,23.6126
Καλέντζι,,Βόθωνας,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,179/1927,,38.1766487,23.9200893
Ζηλίστα,,Οξυά,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΝΑΥΠΑΚΤΙΑΣ,206/1927,→ Κυδωνιά,38.7365257,22.0065866
Ζαγαρά,Τοβαρά,Ευαγγελίστρια,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΙΑΣ,179/1927,,38.3422521,23.0224628
Μπράμαγα,,Θούριον,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΙΑΣ,179/1927,,39.0,22.0
Ράτες,,Ηλιόφοτον,Ηλιόφυτον,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,41.1053182,22.7320026
Γρανίτσα,,Λαφύστιον,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΙΑΣ,179/1927,,38.4300847,22.9193511
Κασνέσιον,,Μαυρονέρι,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΙΑΣ,179/1927,,38.5240277,22.7829279
Μιχάλοβο,,Μιχαλίτσι,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,41.070824,22.7027516
Τσιγούντα,,Μεγάλη Στέρνα,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,41.0918396,22.7246162
Μπέη,,Ξερολίθι,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,179/1927,,37.95737645,23.72230070734656
Μπαλογλαρή,,Μελισσώνας,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,41.0703513,23.1742144
Καραχουσεΐν,,Άγιος Αθανάσιος,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΙΑΣ,179/1927,,38.419353,23.0002357
Σαμπατζαλή,,Λευκόχωμα,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.99302,22.87433
Οτμανλή,,Άγιος Παύλος,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.99302,22.87433
Πορτσαλή,,Μαυροβούνι,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,41.124378622908836,23.13433537142137
Ονδουλού,,Ανηφοριά,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.99302,22.87433
Φαναρλή,,Τριπόταμον,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1927-07-01 00:00:00,,40.99302,22.87433
Κιοσέ Μουρτλαλή,Κιοσέ Μουρτζαλή,Δίβουνον,Διβούνιον,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,40.99302,22.87433
Γενή Μαχαλέ,,Καπνοχώρι,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,41.186463,22.9160138
Γραμμάτινα,,Ευκαρπία,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,41.0732339,22.9079748
Τσιφλίκ Μαχαλέ,,Λαγκαδοχώρι,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,179/1927,,40.99302,22.87433
Καλίνοβο,,Σουτογιαννέικα,,ΜΑΚΕΔΟΝΙΑ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,206/1927,,40.99302,22.87433
Μαμούρα,,Αλκομεναί/Αλαλκομεναί,,ΣΤΕΡΕΑ ΕΛΛΑΔΑ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΙΑΣ,179/1927,,39.0,22.0
Εμέρ Τζελή,,Πρινάρια,,ΜΑΚΕΔΟΝΙΑ,ΧΑΛΚΙΔΙΚΗΣ,ΧΑΛΚΙΔΙΚΗΣ,179/1927,,39.0,22.0
